"범죄별(1)","범죄별(2)",범죄별(3),발생지역별(1),2020
"형법범 (건)","위조범죄",통화,계,627
"형법범 (건)","위조범죄",통화,서울,208
"형법범 (건)","위조범죄",통화,부산,26
"형법범 (건)","위조범죄",통화,대구,18
"형법범 (건)","위조범죄",통화,인천,53
"형법범 (건)","위조범죄",통화,광주,19
"형법범 (건)","위조범죄",통화,대전,21
"형법범 (건)","위조범죄",통화,울산,3
"형법범 (건)","위조범죄",통화,세종,3
"형법범 (건)","위조범죄",통화,경기,148
"형법범 (건)","위조범죄",통화,강원,21
"형법범 (건)","위조범죄",통화,충북,19
"형법범 (건)","위조범죄",통화,충남,32
"형법범 (건)","위조범죄",통화,전북,13
"형법범 (건)","위조범죄",통화,전남,6
"형법범 (건)","위조범죄",통화,경북,17
"형법범 (건)","위조범죄",통화,경남,10
"형법범 (건)","위조범죄",통화,제주,10
"형법범 (건)","위조범죄",유가증권·인지·우표,계,118
"형법범 (건)","위조범죄",유가증권·인지·우표,서울,40
"형법범 (건)","위조범죄",유가증권·인지·우표,부산,6
"형법범 (건)","위조범죄",유가증권·인지·우표,대구,4
"형법범 (건)","위조범죄",유가증권·인지·우표,인천,6
