"죄종별","범죄발생지별","항목","단위","2016 년","2017 년","2018 년","2019 년","2020 년",
"살인미수등","의왕시","범죄건수[건]","건","1","-","2","-","1",
"살인미수등","의정부시","범죄건수[건]","건","9","4","8","2","5",
"살인미수등","이천시","범죄건수[건]","건","-","6","1","1","1",
"살인미수등","파주시","범죄건수[건]","건","2","3","7","5","3",
"살인미수등","평택시","범죄건수[건]","건","6","7","5","5","5",
"살인미수등","포천시","범죄건수[건]","건","4","2","2","8","1",
"살인미수등","하남시","범죄건수[건]","건","1","1","1","-","-",
"살인미수등","화성시","범죄건수[건]","건","9","10","10","11","4",
"살인미수등","강릉시","범죄건수[건]","건","-","2","-","2","2",
"살인미수등","동해시","범죄건수[건]","건","3","1","-","1","1",
"살인미수등","삼척시","범죄건수[건]","건","2","-","1","-","1",
"살인미수등","속초시","범죄건수[건]","건","-","3","1","-","-",
"살인미수등","원주시","범죄건수[건]","건","3","4","-","-","1",
"살인미수등","춘천시","범죄건수[건]","건","3","3","-","5","1",
"살인미수등","태백시","범죄건수[건]","건","-","1","-","-","2",
"살인미수등","제천시","범죄건수[건]","건","3","2","2","3","2",
"살인미수등","청주시","범죄건수[건]","건","6","9","13","10","3",
"살인미수등","충주시","범죄건수[건]","건","6","3","1","4","2",
"살인미수등","계룡시","범죄건수[건]","건","-","-","-","-","-",
"살인미수등","공주시","범죄건수[건]","건","1","-","-","-","1",
"살인미수등","논산시","범죄건수[건]","건","-","3","4","4","3",
"살인미수등","당진시","범죄건수[건]","건","1","1","-","3","3",
"살인미수등","보령시","범죄건수[건]","건","2","1","1","1","2",
"살인미수등","서산시","범죄건수[건]","건","3","1","-","1","2",
"살인미수등","아산시","범죄건수[건]","건","5","4","7","5","5",
"살인미수등","천안시","범죄건수[건]","건","11","9","5","10","6",
"살인미수등","군산시","범죄건수[건]","건","2","2","1","2","1",
"살인미수등","김제시","범죄건수[건]","건","1","2","-","1","3",
"살인미수등","남원시","범죄건수[건]","건","-","1","3","1","2",
"살인미수등","익산시","범죄건수[건]","건","5","5","4","3","2",
"살인미수등","전주시","범죄건수[건]","건","7","4","9","8","4",
